28°26'34.6"S 48°56'57.2"W 
28°26'03.3"S 48°57'36.6"W
28°26'12.8"S 48°57'10.2"W
28°26'37.3"S 48°56'45.1"W
28°26'40.0"S 48°57'52.4"W
28°27'12.9"S 48°57'46.7"W
28°27'27.3"S 48°57'50.9"W
28°27'20.1"S 48°58'30.3"W
28°27'29.9"S 48°58'31.6"W
28°27'36.8"S 48°58'27.8"W
28°27'38.6"S 48°58'26.6"W
28°27'54.7"S 48°58'08.2"W
28°28'00.6"S 48°58'15.0"W
28°28'20.4"S 48°58'27.6"W
28°28'31.3"S 48°58'41.0"W
28°28'44.5"S 48°58'57.9"W
28°28'35.8"S 48°59'10.8"W
28°28'37.6"S 48°59'47.1"W
28°28'28.1"S 49°00'28.4"W
28°27'51.0"S 49°00'41.2"W
