,DateTime,Station,Latitude,Longitude,PM2.5,PM10,NO,NO2,NOX,CO,OZONE,PM2.5_imputed_flag,PM10_imputed_flag,NO_imputed_flag,NO2_imputed_flag,NOX_imputed_flag,CO_imputed_flag,OZONE_imputed_flag
0,2021-01-01 00:00:00,USM,4.532055555555555,-74.11713888888889,32.7,56.6,7504,15962,23493,0.44924,2431,,,,,,,
1,2021-01-01 01:00:00,USM,4.532055555555555,-74.11713888888889,39.3,59.3,16.56,17866,34426,0.69832,1121,,,,,,,
2,2021-01-01 02:00:00,USM,4.532055555555555,-74.11713888888889,70.8,96.4,22989,17802,40791,0.88243,1172,,,,,,,
3,2021-01-01 03:00:00,USM,4.532055555555555,-74.11713888888889,81.0,108.3,3704,9886,13591,0.29549,6565,,,,,,,
4,2021-01-01 04:00:00,USM,4.532055555555555,-74.11713888888889,56.1,87.7,2098,9272,11371,0.16621,9513,,,,,,,
5,2021-01-01 05:00:00,USM,4.532055555555555,-74.11713888888889,38.6,74.4,2249,11064,13313,0.22534,5466,,,,,,,
6,2021-01-01 06:00:00,USM,4.532055555555555,-74.11713888888889,27.2,60.4,11.49,14675,26165,0.41357,2467,,,,,,,
7,2021-01-01 07:00:00,USM,4.532055555555555,-74.11713888888889,29.5,51.9,5864,7348,13212,0.20784,10.8,,,,,,,
8,2021-01-01 08:00:00,USM,4.532055555555555,-74.11713888888889,21.6,38.1,3506,4266,7773,0.21187761904761904,17161,,,,,,interpolated,
9,2021-01-01 09:00:00,USM,4.532055555555555,-74.11713888888889,23.1,28.9,4343,3866,8209,0.2159152380952381,19674,,,,,,interpolated,
10,2021-01-01 10:00:00,USM,4.532055555555555,-74.11713888888889,17.5,22.0,5878,4.03,9907,0.21995285714285714,19842,,,,,,interpolated,
11,2021-01-01 11:00:00,USM,4.532055555555555,-74.11713888888889,12.3,20.9,1.98,2529,4509,0.22399047619047618,20958,,,,,,interpolated,
12,2021-01-01 12:00:00,USM,4.532055555555555,-74.11713888888889,9.8,18.9,1095,1979,3075,0.22802809523809522,21.33,,,,,,interpolated,
13,2021-01-01 13:00:00,USM,4.532055555555555,-74.11713888888889,7.7,17.0,3625,3536,7161,0.2320657142857143,19957,,,,,,interpolated,
14,2021-01-01 14:00:00,USM,4.532055555555555,-74.11713888888889,6.3,14.1,6586,6544,13131,0.23610333333333333,18004,,,,,,interpolated,
15,2021-01-01 15:00:00,USM,4.532055555555555,-74.11713888888889,5.1,10.6,9439,8191,17.63,0.24014095238095237,16753,,,,,,interpolated,
16,2021-01-01 16:00:00,USM,4.532055555555555,-74.11713888888889,4.0,20.2,6055,5.69,11745,0.2441785714285714,16814,,,,,,interpolated,
17,2021-01-01 17:00:00,USM,4.532055555555555,-74.11713888888889,7.2,24.2,10031,9301,19332,0.24821619047619048,13337,,,,,,interpolated,
18,2021-01-01 18:00:00,USM,4.532055555555555,-74.11713888888889,5.6,29.3,7416,11372,18788,0.2522538095238095,10822,,,,,,interpolated,
19,2021-01-01 19:00:00,USM,4.532055555555555,-74.11713888888889,4.5,22.5,9149,12118,21267,0.25629142857142856,10343,,,,,,interpolated,
20,2021-01-01 20:00:00,USM,4.532055555555555,-74.11713888888889,3.7,20.0,6701,10722,17423,0.2603290476190476,9854,,,,,,interpolated,
21,2021-01-01 21:00:00,USM,4.532055555555555,-74.11713888888889,3.2,14.2,9616,13.13,22746,0.26436666666666664,6924,,,,,,interpolated,
22,2021-01-01 22:00:00,USM,4.532055555555555,-74.11713888888889,3.1,10.9,6012,11752,17764,0.2684042857142857,7112,,,,,,interpolated,
23,2021-01-01 23:00:00,USM,4.532055555555555,-74.11713888888889,3.1,16.8,1.76,6546,8305,0.2724419047619048,10098,,,,,,interpolated,
24,2021-01-02 00:00:00,USM,4.532055555555555,-74.11713888888889,3.4,12.3,796,5439,6242,0.2764795238095238,11412,,,,,,interpolated,
25,2021-01-02 01:00:00,USM,4.532055555555555,-74.11713888888889,3.2,14.6,735,3306,4042,0.28051714285714285,12281,,,,,,interpolated,
26,2021-01-02 02:00:00,USM,4.532055555555555,-74.11713888888889,3.2,14.5,793,6056,6849,0.2845547619047619,9843,,,,,,interpolated,
27,2021-01-02 03:00:00,USM,4.532055555555555,-74.11713888888889,3.1,13.6,934,6726,7.66,0.28859238095238093,8.53,,,,,,interpolated,
