DateTime,Station,Latitude,Longitude,PM2.5,PM10,NO,NO2,NOX,CO,OZONE,PM2.5_imputed_flag,PM10_imputed_flag,NO_imputed_flag,NO2_imputed_flag,NOX_imputed_flag,CO_imputed_flag,OZONE_imputed_flag
01/01/2021 00:00,USM,4.532097222,-74.11694722,32.7,56.6,7504,15962,23493,0.44924,2431,,,,,,,
01/01/2021 01:00,USM,4.532097222,-74.11694722,39.3,59.3,16.56,17866,34426,0.69832,1121,,,,,,,
01/01/2021 02:00,USM,4.532097222,-74.11694722,70.8,96.4,22989,17802,40791,0.88243,1172,,,,,,,
01/01/2021 03:00,USM,4.532097222,-74.11694722,81,108.3,3704,9886,13591,0.29549,6565,,,,,,,
01/01/2021 04:00,USM,4.532097222,-74.11694722,56.1,87.7,2098,9272,11371,0.16621,9513,,,,,,,
01/01/2021 05:00,USM,4.532097222,-74.11694722,38.6,74.4,2249,11064,13313,0.22534,5466,,,,,,,
01/01/2021 06:00,USM,4.532097222,-74.11694722,27.2,60.4,11.49,14675,26165,0.41357,2467,,,,,,,
01/01/2021 07:00,USM,4.532097222,-74.11694722,29.5,51.9,5864,7348,13212,0.20784,10.8,,,,,,,
01/01/2021 08:00,USM,4.532097222,-74.11694722,21.6,38.1,3506,4266,7773,0.211877619,17161,,,,,,interpolated,
01/01/2021 09:00,USM,4.532097222,-74.11694722,23.1,28.9,4343,3866,8209,0.215915238,19674,,,,,,interpolated,
01/01/2021 10:00,USM,4.532097222,-74.11694722,17.5,22,5878,4.03,9907,0.219952857,19842,,,,,,interpolated,
01/01/2021 11:00,USM,4.532097222,-74.11694722,12.3,20.9,1.98,2529,4509,0.223990476,20958,,,,,,interpolated,
01/01/2021 12:00,USM,4.532097222,-74.11694722,9.8,18.9,1095,1979,3075,0.228028095,21.33,,,,,,interpolated,
01/01/2021 13:00,USM,4.532097222,-74.11694722,7.7,17,3625,3536,7161,0.232065714,19957,,,,,,interpolated,
01/01/2021 14:00,USM,4.532097222,-74.11694722,6.3,14.1,6586,6544,13131,0.236103333,18004,,,,,,interpolated,
01/01/2021 15:00,USM,4.532097222,-74.11694722,5.1,10.6,9439,8191,17.63,0.240140952,16753,,,,,,interpolated,
01/01/2021 16:00,USM,4.532097222,-74.11694722,4,20.2,6055,5.69,11745,0.244178571,16814,,,,,,interpolated,
01/01/2021 17:00,USM,4.532097222,-74.11694722,7.2,24.2,10031,9301,19332,0.24821619,13337,,,,,,interpolated,
01/01/2021 18:00,USM,4.532097222,-74.11694722,5.6,29.3,7416,11372,18788,0.25225381,10822,,,,,,interpolated,
01/01/2021 19:00,USM,4.532097222,-74.11694722,4.5,22.5,9149,12118,21267,0.256291429,10343,,,,,,interpolated,
01/01/2021 20:00,USM,4.532097222,-74.11694722,3.7,20,6701,10722,17423,0.260329048,9854,,,,,,interpolated,
01/01/2021 21:00,USM,4.532097222,-74.11694722,3.2,14.2,9616,13.13,22746,0.264366667,6924,,,,,,interpolated,
01/01/2021 22:00,USM,4.532097222,-74.11694722,3.1,10.9,6012,11752,17764,0.268404286,7112,,,,,,interpolated,
01/01/2021 23:00,USM,4.532097222,-74.11694722,3.1,16.8,1.76,6546,8305,0.272441905,10098,,,,,,interpolated,
02/01/2021 00:00,USM,4.532097222,-74.11694722,3.4,12.3,796,5439,6242,0.276479524,11412,,,,,,interpolated,
02/01/2021 01:00,USM,4.532097222,-74.11694722,3.2,14.6,735,3306,4042,0.280517143,12281,,,,,,interpolated,
02/01/2021 02:00,USM,4.532097222,-74.11694722,3.2,14.5,793,6056,6849,0.284554762,9843,,,,,,interpolated,
02/01/2021 03:00,USM,4.532097222,-74.11694722,3.1,13.6,934,6726,7.66,0.288592381,8.53,,,,,,interpolated,
02/01/2021 04:00,USM,4.532097222,-74.11694722,3.1,9.7,3894,11783,15676,0.29263,4.31,,,,,,interpolated,
02/01/2021 05:00,USM,4.532097222,-74.11694722,3.2,7.2,12341,13818,26159,0.296667619,358,,,,,,interpolated,
02/01/2021 06:00,USM,4.532097222,-74.11694722,3.2,12.4,45.44,20.89,66329,0.300705238,682,,,,,,interpolated,
02/01/2021 07:00,USM,4.532097222,-74.11694722,3.3,17.1,59824,23.85,83673,0.304742857,1662,,,,,,interpolated,
02/01/2021 08:00,USM,4.532097222,-74.11694722,3.9,27.5,15242,10286,25528,0.308780476,8.38,,,,,,interpolated,
02/01/2021 09:00,USM,4.532097222,-74.11694722,5.4,32.8,5797,4971,10767,0.312818095,12786,,,,,,interpolated,
02/01/2021 10:00,USM,4.532097222,-74.11694722,5.1,24.1,3491,4.37,7861,0.316855714,13222,,,,,,interpolated,
02/01/2021 11:00,USM,4.532097222,-74.11694722,4.6,22.5,3449,3606,7055,0.320893333,12818,,,,,,interpolated,
02/01/2021 12:00,USM,4.532097222,-74.11694722,4.1,16.1,5956,3662,9619,0.324930952,13.15,,,,,,interpolated,
02/01/2021 13:00,USM,4.532097222,-74.11694722,3.7,15.1,5324,4651,9975,0.328968571,12704,,,,,,interpolated,
02/01/2021 14:00,USM,4.532097222,-74.11694722,3.6,13.6,8743,5.56,14302,0.33300619,12016,,,,,,interpolated,
02/01/2021 15:00,USM,4.532097222,-74.11694722,3.5,10.6,6.79,4892,11681,0.33704381,12613,,,,,,interpolated,
02/01/2021 16:00,USM,4.532097222,-74.11694722,3.5,10.1,15383,9098,24.48,0.341081429,9.39,,,,,,interpolated,
02/01/2021 17:00,USM,4.532097222,-74.11694722,3.4,17.7,18779,11388,30167,0.345119048,5972,,,,,,interpolated,
02/01/2021 18:00,USM,4.532097222,-74.11694722,3.4,13.2,15369,11958,27327,0.349156667,4318,,,,,,interpolated,
02/01/2021 19:00,USM,4.532097222,-74.11694722,3.2,11.3,10767,12717,23484,0.353194286,3366,,,,,,interpolated,
02/01/2021 20:00,USM,4.532097222,-74.11694722,3.2,17.8,12686,12659,25345,0.357231905,3508,,,,,,interpolated,
02/01/2021 21:00,USM,4.532097222,-74.11694722,3.2,12.6,12563,12047,24.61,0.361269524,2561,,,,,,interpolated,
02/01/2021 22:00,USM,4.532097222,-74.11694722,3.2,10.1,4564,8813,13376,0.365307143,4.52,,,,,,interpolated,
02/01/2021 23:00,USM,4.532097222,-74.11694722,3.1,13.8,4665,8997,13662,0.369344762,3471,,,,,,interpolated,
03/01/2021 00:00,USM,4.532097222,-74.11694722,3.1,9.9,4.39,7419,11817,0.373382381,5625,,,,,,interpolated,
03/01/2021 01:00,USM,4.532097222,-74.11694722,3.1,8.8,1268,4913,6.18,0.37742,8042,,,,,,interpolated,
